sprout: sprouting sprout
perfect: perfect perfected
bring: brought bring
diversify: diversify diversified
common: commons common
pericardium: pericardia pericardium
hawk: hawking hawk
outflank: outflank outflanking
discharge: discharge discharging
vote: vote voting
hood: hooded hood
headquarter: headquarters headquarter
condense: condense condensed
gift: gifted gift
compensate: compensating compensate
pus: puss pus
dabble: dabbling dabble
tone: toned tone
post: posted post
pray: praying pray
stun: stunning stun
interfere: interfere interfering
slave: slaving slave
forecast: forecasting forecast
surprise: surprise surprising
chain: chain chained
survey: survey surveying
tower: towering tower
justify: justify justifying
erratum: erratum errata
bound: bounded bound
permit: permit permitted
ante: ante antes
swift: swift swifter
flow: flowing flow
comprise: comprise comprised
batter: batter battered
reconcile: reconciling reconcile
disperse: disperse dispersed
cull: cull culling
pure: pure purer
use: use used
contract: contract contracted
gild: gilded gilt
blight: blight blighted
shorten: shorten shortening
distress: distress distressing
flatten: flatten flattening
cut: cut cutting
low: low lower
plumb: plumb plumbing
injure: injured injure
spew: spew spewing
shed: shed shedding
state: state stated
glow: glowing glow
proportion: proportion proportioned
horn: horn horned
antenna: antenna antennae
pierce: piercing pierce
beach: beached beach
repeat: repeated repeat
startle: startling startle
collect: collect collected
distort: distort distorted
quake: quaking quake
shoulder: shouldered shoulder
boom: booming boom
stratum: stratum strata
leap: leap leaping
whirl: whirling whirl
mouse: mice mouse
ripe: riper ripe
west: west wester
cop: cop coping
drill: drilling drill
tuck: tucking tuck
caress: caressing caress
rest: resting rest
fail: failing fail
colloquium: colloquia colloquium
quiet: quieter quiet
cone: cone cones
papilla: papillae papilla
gallop: gallop galloping
endorse: endorsed endorse
resist: resisting resist
replicate: replicated replicate
grade: grade grading
semi: semis semi
effect: effects effect
bloom: blooming bloom
chirp: chirp chirping
trigger: triggered trigger
lee: lee lees
outline: outline outlined
observe: observe observing
churn: churning churn
great: greater great
tale: tales tale
rectify: rectify rectified
hide: hidden hide
reach: reach reaching
staff: staff staffed
determine: determined determine
include: included include
pound: pound pounding
environ: environ environs
skid: skid skidding
loose: loose looser
spear: spearing spear
corp: corp corps
climb: climbing climb
sacrifice: sacrificing sacrifice
love: love loving
powder: powdered powder
pay: pay paying
spit: spitting spit
uterus: uteri uterus
forty: forty forties
unload: unload unloaded
drop: drop dropping
pertain: pertain pertaining
uplift: uplifted uplift
bid: bidding bid
steam: steaming steam
fragment: fragment fragmented
greet: greet greeting
subordinate: subordinate subordinating
enhance: enhanced enhance
right: right righter
shop: shopping shop
declare: declare declared
acquire: acquired acquire
account: accounting account
la: las la
da: das da
ray: ray rayed
puncture: puncture punctured
copy: copy copied
lap: lap lapping
pet: petted pet
descend: descend descending
winter: wintering winter
waterproof: waterproofing waterproof
day: days day
faint: fainter faint
misunderstand: misunderstanding misunderstood
posse: posse possess
cry: cry crying
continue: continue continued
graze: graze grazing
fee: fee feed
mirror: mirrored mirror
desert: desert deserted
render: render rendering
partake: partook partake
devote: devoted devote
plat: plat plated
nucleus: nuclei nucleus
soak: soak soaked
pinna: pinnae pinna
engineer: engineer engineering
relax: relax relaxed
shingle: shingled shingles
shin: shin shining
dynamic: dynamic dynamics
ease: ease easing
bark: barking bark
trail: trailing trail
tire: tire tired
undermine: undermine undermining
oscillate: oscillating oscillate
bore: bore boring
ferret: ferret ferreting
persist: persist persisting
harden: hardening harden
rip: rip ripping
please: pleasing please
last: last lasting
jean: jean jeans
oasis: oasis oases
solo: solo soli
organize: organized organize
lag: lag lagging
septum: septa septum
suppose: suppose supposed
milk: milking milk
cage: cage caged
derive: derived derive
pot: pot potted
pink: pink pinker
fashion: fashioned fashion
warn: warn warning
smear: smeared smear
consolidate: consolidated consolidate
raven: raven ravens
punch: punch punching
northward: northwards northward
rule: ruling rule
foam: foam foaming
suckle: suckle suckling
correlate: correlate correlated
core: coring core
tour: touring tour
cold: cold colder
skip: skipping skip
torque: torque torques
inflate: inflate inflated
armor: armored armor
doom: doom dooms
standardize: standardized standardize
papyrus: papyrus papyri
strand: strand stranding
educate: educated educate
clock: clock clocked
search: searching search
hover: hover hovering
bird: birding bird
bless: blessing blessed
celebrate: celebrate celebrated
erase: erased erase
street: streets street
regard: regard regarding
hack: hacking hack
prefer: preferred prefer
converge: converging converge
register: register registered
curriculum: curricula curriculum
talk: talk talking
pitch: pitch pitching
graphic: graphic graphics
cable: cabled cable
roast: roast roasting
statistic: statistics statistic
dissect: dissected dissecting
wy: wyss wy
sander: sanders sander
adventure: adventuress adventure
belong: belonging belong
grunt: grunt grunting
retain: retain retaining
govern: govern governing
value: valued value
creep: creeping creep
feel: feel feeling
restrict: restricted restrict
dredge: dredging dredge
profess: professed profess
bleed: bleeding bleed
hypothesis: hypothesis hypotheses
dislocate: dislocated dislocate
discourage: discourage discouraging
feature: featured feature
intend: intending intended
pair: paired pair
eye: eyed eye
cause: causing cause
assign: assign assigned
stamen: stamina stamen
awaken: awaken awakening
brighten: brighten brightening
sequester: sequester sequestered
constrict: constrict constricted
therapeutic: therapeutics therapeutic
season: season seasoning
slide: sliding slide
wise: wise wiser
fingerprint: fingerprinting fingerprint
scissor: scissors scissor
sol: sol soles
slow: slows slow
shift: shift shifting
experiment: experiment experimented
receive: receive received
display: displayed display
doubt: doubt doubting
salt: salted salt
skate: skate skating
terminus: terminus termini
highland: highlander highland
exclude: excluding exclude
track: track tracked
lunge: lunged lunge
produce: produced produce
quantum: quanta quantum
besiege: besieged besieging
cook: cooking cook
crest: crest crested
warrant: warrant warranted
sway: swaying sway
brand: branded brand
establish: establish established
snail: snail snails
fascinate: fascinating fascinated
decide: decide decided
drain: drained drain
mix: mixed mix
succeed: succeed succeeding
con: con cones
truck: truck trucks
sweat: sweat sweating
sponge: sponged sponge
exceed: exceeding exceed
ganglion: ganglia ganglion
unearth: unearth unearthed
yield: yielding yield
crystallize: crystallized crystallize
can: canned canning
open: open opening
split: split splitting
conclude: concluding conclude
usurp: usurping usurp
squabble: squabble squabbling
fear: fear feared
penny: penny pence
even: evening even
express: express expressed
auspex: auspices auspex
mind: minding mind
growl: growl growling
silt: silt silting
rich: riches rich
ripen: ripen ripening
bus: bus buss
aquarium: aquaria aquarium
be: bees bes
dare: daring dare
crowd: crowded crowd
engrave: engraving engraved
buff: buffer buff
grasp: grasping grasp
squeeze: squeeze squeezing
gun: gunning gun
needle: needles needle
fine: fine finer
aba: aba abas
wave: wave waving
gamble: gamble gambling
weaken: weakening weaken
accept: accept accepted
mild: milder mild
stew: stewed stew
trade: trading trade
vanish: vanishing vanish
endure: endure enduring
nurse: nurse nursing
analysis: analyses analysis
analyse: analyses analyse
improve: improving improve
dull: dull duller
float: floating float
calm: calmer calm
help: help helping
strengthen: strengthening strengthen
night: night nights
spay: spay spaying
smell: smelling smell
charge: charging charge
disorder: disorder disordered
main: mains main
thrust: thrust thrusting
ra: ra ras
impact: impact impacted
distribute: distribute distributed
execute: executed execute
mask: masked mask
mane: manes mane
debate: debate debating
regulate: regulated regulate
bet: bet betting
box: boxing box
shearwater: shearwater shearwaters
precede: preceding precede
bank: bank banking
sear: searing sear
add: added add
cramp: cramp cramped
strap: strapping strap
son: sons son
record: recording record
sift: sifted sifting
scrap: scrapped scrap
ax: ax axes
fore: fore forester
soar: soar soaring
menace: menace menacing
dance: dancing dance
scream: screaming scream
potato: potato potatoes
pinch: pinch pinching
oxidize: oxidizing oxidize
hug: hug hugging
loop: loop looping
buckle: buckling buckle
hop: hoped hop
graduate: graduate graduated
appendix: appendix appendices
muscle: muscle muscled
boil: boiled boiling
corner: cornered corner
aim: aiming aim
fan: fanning fan
rumble: rumbling rumble
adjoin: adjoined adjoining
plague: plague plagued
millennium: millennia millennium
model: model modeling
hot: hot hotter
diverge: diverge diverging
employ: employ employed
yellow: yellow yellows
fleet: fleeting fleet
shut: shutting shut
claw: clawed claw
blaze: blazing blaze
wall: wall walled
damage: damages damage
purr: purr purring
manifest: manifested manifest
scoop: scooped scoop
picture: pictured picture
yacht: yacht yachting
ramus: ramus rami
bud: bud budding
elongate: elongate elongated
radiate: radiated radiate
wander: wandering wander
medium: media medium
operate: operate operating
abort: aborted abort
prefix: prefixed prefix
jaw: jawed jaw
phrase: phrasing phrase
morning: mornings morning
reconstruct: reconstruct reconstructed
sow: sowing sow
move: move moving
relate: relate related
streamline: streamline streamlined
flush: flush flushing
digest: digest digested
augment: augmented augment
collar: collared collar
praise: praising praise
aura: aura aurae
fault: faulting fault
strain: strain strained
enforce: enforce enforced
boast: boast boasting
vertebra: vertebra vertebrae
reticulate: reticulated reticulate
hydrate: hydrate hydrated
resolve: resolve resolved
soil: soil soiling
pick: pick picked
curtail: curtailed curtail
offer: offering offer
host: hosting host
labor: laboring labor
phalanx: phalanges phalanx
lot: lots lot
ply: plied ply
hunt: hunting hunt
puff: puffing puff
peg: peg pegged
vary: varied vary
ocellus: ocellus ocelli
call: calling call
coin: coin coining
suck: suck sucking
sharp: sharp sharper
bomb: bomb bombed
surpass: surpass surpassing
commute: commuting commute
smooth: smoother smooth
neighbor: neighboring neighbor
receipt: receipt receipts
brother: brethren brother
cirrus: cirri cirrus
cast: casting cast
lend: lend lent
roam: roam roaming
pu: pu pus
surge: surge surging
overlie: overlain overlying
involve: involved involve
awake: awake awoke
structure: structure structured
table: tables table
twinkle: twinkling twinkle
wage: wage wages
happy: happy happier
spy: spied spy
inform: inform informed
rebuild: rebuilt rebuild
speck: specks speck
devastate: devastate devastating
struggle: struggling struggle
found: founding found
vortex: vortices vortex
er: er ers
join: join joining
seize: seizing seize
dissent: dissenting dissent
ass: ass assess
torture: tortured torture
reserve: reserved reserve
sum: summed sum
suppress: suppress suppressed
look: looking look
joint: jointed joint
flat: flat flatter
front: front fronting
lodge: lodging lodge
conquer: conquer conquering
forbid: forbidden forbade
suffer: suffering suffer
enter: enter entering
threaten: threatening threaten
stem: stemming stem
ca: ca cass
voice: voiced voice
moan: moaning moan
rent: rented rent
trim: trim trimming
poison: poisoning poison
drum: drum drumming
ermine: ermine ermines
subside: subside subsiding
bake: baking baked
retreat: retreating retreat
diagnosis: diagnoses diagnosis
journey: journeying journey
detach: detach detached
diver: diver divers
study: studied study
foster: fostering foster
reform: reform reformed
recur: recur recurring
heal: healing heal
spike: spike spiked
beg: begging beg
rock: rock rocking
advertise: advertising advertise
dial: dialing dial
hold: holding hold
hard: harder hard
stereotype: stereotype stereotyped
twitter: twitter twittering
qualify: qualified qualify
remain: remains remain
lower: lower lowering
segment: segmented segment
phenomenon: phenomenon phenomena
ash: ashes ash
ripple: rippling ripple
title: titled title
undulate: undulating undulate
ceramic: ceramics ceramic
cleanse: cleanse cleansing
hatch: hatching hatch
multiply: multiply multiplying
phase: phases phase
marry: marrying married
animate: animated animate
pan: panning pan
silence: silenced silence
corn: corn corning
accelerate: accelerate accelerated
optic: optics optic
sample: sampling sample
el: el els
subject: subjected subject
depend: depending depend
locus: locus loci
dye: dyeing dye
embrace: embracing embrace
enrich: enrich enriching
shuffle: shuffling shuffle
near: nearest near
wild: wild wilder
octopus: octopus octopi
breathe: breathe breathing
decorate: decorated decorate
investigate: investigate investigating
protect: protecting protect
scavenge: scavenging scavenge
green: green greening
house: house housing
revolve: revolve revolving
weight: weight weighted
articulate: articulate articulated
